ID,OriginCity,OriginState,OriginCountry,OriginLat,OriginLong,DestinationCity,DestinationState,DestinationCountry,DestinationLat,DestinationLong
1,Chicago,IL,US,41.811929,-87.68732,Falling Rock,WV,US,38.495072,-81.398422
2,Chicago,IL,US,41.811929,-87.68732,Scranton,KS,US,38.74633,-95.675159
3,Chicago,IL,US,41.811929,-87.68732,East Waterford,PA,US,40.478716,-77.345514
4,Chicago,IL,US,41.811929,-87.68732,Cleveland,OH,US,41.472551,-81.64919
5,Chicago,IL,US,41.811929,-87.68732,Westmoreland,TN,US,36.572762,-86.305594
6,Chicago,IL,US,41.811929,-87.68732,Acton,MA,US,42.446396,-71.459405
7,Chicago,IL,US,41.811929,-87.68732,Greenville,MO,US,37.126875,-90.450586
8,Chicago,IL,US,41.811929,-87.68732,Norcross,GA,US,33.932173,-84.181881
9,Chicago,IL,US,41.811929,-87.68732,Dungannon,VA,US,36.828738,-82.471457
10,Chicago,IL,US,41.811929,-87.68732,East Windsor,CT,US,41.903347,-72.592883
11,Chicago,IL,US,41.811929,-87.68732,Winnebago,MN,US,43.673848,-93.948241
12,Chicago,IL,US,41.811929,-87.68732,Limestone,PA,US,41.202325,-79.453751
13,Chicago,IL,US,41.811929,-87.68732,Moultrie,GA,US,31.183438,-83.789698
14,Chicago,IL,US,41.811929,-87.68732,Mission,SD,US,43.304572,-100.662079
15,Chicago,IL,US,41.811929,-87.68732,Columbus,OH,US,39.969036,-83.011389
16,Chicago,IL,US,41.811929,-87.68732,Indore,WV,US,38.465777,-81.050662
17,Chicago,IL,US,41.811929,-87.68732,Brockton,PA,US,40.750796,-76.062859
18,Chicago,IL,US,41.811929,-87.68732,Sweet Valley,PA,US,41.288634,-76.142277
19,Chicago,IL,US,41.811929,-87.68732,Cambridge Springs,PA,US,41.803393,-80.059383
20,Chicago,IL,US,41.811929,-87.68732,Vienna,VA,US,38.831813,-77.288755
21,Chicago,IL,US,41.811929,-87.68732,Windsor,VT,US,43.5181,-72.418059
22,Chicago,IL,US,41.811929,-87.68732,New York,NY,US,40.70859,-74.008687
23,Sacramento,CA,US,38.497863,-121.531332,Renton,WA,US,47.432251,-121.803388
24,Sacramento,CA,US,38.497863,-121.531332,Gilliam,LA,US,32.835482,-93.830134
25,Sacramento,CA,US,38.497863,-121.531332,Rosepine,LA,US,30.923606,-93.195312
26,Sacramento,CA,US,38.497863,-121.531332,Mesa,AZ,US,33.443017,-111.743444
27,Sacramento,CA,US,38.497863,-121.531332,Tempe,AZ,US,33.432844,-111.927219
28,Sacramento,CA,US,38.497863,-121.531332,Tucson,AZ,US,32.217975,-110.970869
29,Sacramento,CA,US,38.497863,-121.531332,The Lakes,NV,US,36.322484,-114.819717
30,Sacramento,CA,US,38.497863,-121.531332,Las Vegas,NV,US,35.927901,-114.972061
31,Sacramento,CA,US,38.497863,-121.531332,Las Vegas,NV,US,35.927901,-114.972061
32,Sacramento,CA,US,38.497863,-121.531332,Las Vegas,NV,US,35.927901,-114.972061
33,Sacramento,CA,US,38.497863,-121.531332,Reno,NV,US,39.545363,-119.879069
34,Sacramento,CA,US,38.497863,-121.531332,Reno,NV,US,39.545363,-119.879069
35,Sacramento,CA,US,38.497863,-121.531332,Reno,NV,US,39.545363,-119.879069
36,Sacramento,CA,US,38.497863,-121.531332,Reno,NV,US,39.545363,-119.879069
37,Sacramento,CA,US,38.497863,-121.531332,Stockton,CA,US,37.988691,-121.337187
38,Sacramento,CA,US,38.497863,-121.531332,Los Angeles,CA,US,33.973951,-118.248405
39,Sacramento,CA,US,38.497863,-121.531332,Los Angeles,CA,US,33.973951,-118.248405
40,Sacramento,CA,US,38.497863,-121.531332,Cordell,OK,US,35.232961,-99.05841
41,Sacramento,CA,US,38.497863,-121.531332,Los Angeles,CA,US,33.973951,-118.248405
42,Sacramento,CA,US,38.497863,-121.531332,Los Angeles,CA,US,33.973951,-118.248405
43,Sacramento,CA,US,38.497863,-121.531332,Ashland,MT,US,45.605673,-106.278272
44,El Paso,TX,US,31.694842,-106.299987,Keaton,KY,US,37.973831,-82.966183
45,El Paso,TX,US,31.694842,-106.299987,Blum,TX,US,32.045004,-97.373528
46,El Paso,TX,US,31.694842,-106.299987,Clarendon,AR,US,34.745361,-91.247509
47,El Paso,TX,US,31.694842,-106.299987,Clarksville,TN,US,36.512666,-87.301283
48,El Paso,TX,US,31.694842,-106.299987,Loa,UT,US,38.441473,-111.595751
49,El Paso,TX,US,31.694842,-106.299987,Raymond,NE,US,40.934176,-96.786573
50,El Paso,TX,US,31.694842,-106.299987,Wilburton,OK,US,34.855219,-95.287712
51,El Paso,TX,US,31.694842,-106.299987,Malakoff,TX,US,32.146014,-96.029222
52,El Paso,TX,US,31.694842,-106.299987,Little Rock,AR,US,34.752299,-92.290419
53,El Paso,TX,US,31.694842,-106.299987,Uvalde,TX,US,29.223697,-99.779351
54,El Paso,TX,US,31.694842,-106.299987,Albuquerque,NM,US,35.199592,-106.644831
55,El Paso,TX,US,31.694842,-106.299987,Phoenix,AZ,US,33.703967,-112.351835
